,x_top_left,y_top_left,x_top_right,y_top_right,x_bot_left,y_bot_left,x_bot_right,y_bot_right,custom_center_x,custom_center_y,left_height,top_width,right_height,bot_width,dist_to_top_left,dist_to_bot_left,dist_to_top_right,dist_to_bot_right,smoothed_y_top_left,smoothed_y_top_right,smoothed_y_bot_left,smoothed_y_bot_right,cos_alpha,angle,smoothed_center_x,smoothed_center_y
415,387.46343,210.96846,533.75129,218.26669,386.35162,233.21423,532.63948,240.51246,460.05146,225.74046,22.44689,144.83624,22.27501,144.88629,74.07586,74.07782,74.07781,74.07586,211.04145,217.94603,233.34084,240.39865,-9e-05,90.00509,463.19574,225.64796
416,392.96857,211.25341,536.70366,218.64249,391.79199,233.74651,535.58589,240.85091,464.27723,226.05216,22.36191,143.41126,22.2237,143.4546,72.82807,72.89248,72.80447,72.82807,211.43089,218.23497,233.57131,240.69629,-0.0009,90.05147,465.39963,225.95828
417,399.2469,211.56192,540.81771,218.93603,398.04189,234.14884,539.70155,241.11347,469.47422,226.33769,22.25493,141.97503,22.18567,142.00375,71.7649,71.85814,71.72641,71.7649,211.81273,218.51537,233.77925,240.95494,-0.00126,90.0721,468.35964,226.26422
418,405.48961,211.92886,545.28651,219.12056,404.29153,234.371,544.18052,241.27977,474.83507,226.60431,22.12021,140.57966,22.15629,140.586,70.88132,70.9698,70.84781,70.88132,212.18718,218.78046,233.96615,241.15638,-0.00194,90.11094,471.90235,226.56175
419,411.34267,212.2822,549.662,219.32737,410.179,234.42836,548.54731,241.43975,479.94499,226.86098,21.95231,139.27049,22.13578,139.24613,70.1343,70.1752,70.12287,70.1343,212.55369,219.02426,234.13407,241.32471,-0.00161,90.09206,475.90195,226.84741
420,417.16936,212.6172,554.24269,219.40013,416.07187,234.47094,553.13727,241.4834,485.15331,227.0503,21.75101,138.1314,22.11984,138.0711,69.49916,69.47886,69.51163,69.49916,212.90186,219.23636,234.27837,241.43174,-0.00073,90.04204,480.18176,227.11208
421,422.44444,213.00697,558.6124,219.43834,421.43803,234.57264,557.52039,241.50759,489.98241,227.25728,21.52262,137.22471,22.11061,137.12322,69.02499,68.93365,69.07395,69.02499,213.21797,219.40796,234.40416,241.49566,0.00056,89.96777,484.60415,227.34324
422,427.10097,213.3157,562.71931,219.47024,426.1942,234.59752,561.6412,241.52579,494.37108,227.42074,21.26979,136.61682,22.10527,136.45858,68.73297,68.55358,68.80909,68.73297,213.48779,219.5401,234.50195,241.53259,0.00277,89.84139,489.07483,227.53382
423,431.20399,213.53608,566.74692,219.4099,430.40969,234.53487,565.6853,241.48323,498.44464,227.50966,20.99545,136.36178,22.09996,136.13892,68.67726,68.3967,68.78086,68.67726,213.7044,219.62242,234.56422,241.53766,0.0055,89.68485,493.46967,227.67571
424,434.76465,213.87757,570.5988,219.27827,434.19774,234.51726,569.56535,241.37264,502.165,227.62511,20.70961,136.49224,22.09315,136.19697,68.78809,68.31581,68.94095,68.78809,213.85967,219.64884,234.57823,241.51715,0.01228,89.2965,497.65146,227.76193
