,x_top_left,y_top_left,x_top_right,y_top_right,x_bot_left,y_bot_left,x_bot_right,y_bot_right
150,530.267333984375,199.9875946044922,710.0,209.0,528.827880859375,226.9774932861328,710.0,235.0
151,531.3839111328125,199.99362182617188,711.4047241210938,210.52529907226562,529.90966796875,226.89913940429688,709.7938842773438,236.29962158203125
152,534.22021484375,200.0797576904297,714.5875244140625,210.59922790527344,532.7156982421875,226.8603973388672,712.9766845703125,236.37355041503906
153,536.2213134765625,200.12689208984375,716.6107177734375,210.8407440185547,534.6737060546875,227.20989990234375,714.880615234375,236.7920684814453
154,537.2749633789062,200.18710327148438,716.5531616210938,210.7035675048828,535.7273559570312,227.27011108398438,714.8142700195312,236.7876434326172
155,539.30078125,199.9464569091797,719.3192138671875,210.615966796875,537.69580078125,226.9104461669922,718.0074462890625,236.85037231445312
156,541.4020385742188,200.562255859375,720.6018676757812,210.9735107421875,539.9409790039062,227.59140014648438,718.8540649414062,237.1903076171875
157,542.425537109375,200.44650268554688,722.4723510742188,211.02487182617188,540.8934326171875,227.64187622070312,721.0883178710938,237.3204345703125
158,544.198486328125,200.52560424804688,724.6090698242188,211.47207641601562,542.6541748046875,227.5516357421875,722.6852416992188,238.40609741210938
159,545.5843505859375,200.11737060546875,725.7235107421875,211.59408569335938,543.8114013671875,227.0665283203125,723.7117919921875,237.74703979492188
160,546.5072631835938,200.1887969970703,727.4117431640625,211.6470489501953,544.7698364257812,226.9460906982422,725.4058837890625,237.72352600097656
161,548.2984619140625,200.37411499023438,727.0,210.0,546.563720703125,227.26220703125,727.0,236.0
162,550.2139892578125,200.57589721679688,729.3424072265625,211.5214080810547,548.5369873046875,227.4085693359375,727.7159423828125,237.5447540283203
163,550.267822265625,200.64723205566406,730.3803100585938,211.6051788330078,548.5927734375,227.8672332763672,728.6995239257812,237.6580352783203
164,551.2879638671875,200.95928955078125,731.119140625,211.65284729003906,549.7452392578125,227.95684814453125,729.4383544921875,237.70570373535156
165,552.1803588867188,201.4395294189453,730.0,210.0,550.8109741210938,228.48411560058594,730.0,236.0
166,552.1917724609375,201.30870056152344,730.0,210.0,550.7862548828125,228.3655548095703,730.0,236.0
167,552.3536376953125,200.28176879882812,731.0,210.0,550.8729248046875,228.41436767578125,731.0,236.0
168,553.2765502929688,201.80197143554688,732.6549682617188,212.177001953125,551.8557739257812,228.51364135742188,730.8761596679688,238.85842895507812
169,554.3417358398438,201.9347381591797,733.0548095703125,211.90277099609375,552.8491821289062,228.42811584472656,731.7281494140625,238.43643188476562
170,555.2468872070312,201.49298095703125,733.0,211.0,553.7673950195312,228.49411010742188,733.0,237.0
171,555.2664794921875,201.31057739257812,734.0,211.0,553.72314453125,228.472900390625,734.0,237.0
172,556.2951049804688,200.76309204101562,734.0,211.0,554.7305297851562,228.53411865234375,734.0,237.0
173,557.2373657226562,201.20233154296875,736.0,211.0,555.5369262695312,228.4085693359375,736.0,237.0
174,559.3203125,201.71640014648438,736.0,211.0,557.68994140625,228.61758422851562,736.0,237.0
175,559.303466796875,201.8413848876953,737.0,211.0,557.72412109375,228.6896514892578,737.0,237.0
176,561.2686767578125,202.09689331054688,739.0,211.0,559.8004150390625,228.89315795898438,739.0,237.0
177,564.0620727539062,201.94483947753906,742.0363159179688,212.1265106201172,562.4931030273438,228.6172637939453,740.9548950195312,238.08143615722656
178,565.2645263671875,202.23690795898438,743.3827514648438,212.49313354492188,563.781494140625,228.93228149414062,741.8621215820312,238.3448486328125
179,568.1951904296875,202.388916015625,745.3599853515625,212.52000427246094,566.7545166015625,229.040771484375,743.9354248046875,238.16307067871094
180,570.2489624023438,202.391845703125,747.0,212.0,568.8025512695312,229.1514892578125,747.0,237.0
181,571.3076782226562,202.53848266601562,748.0,212.0,570.0271606445312,229.42987060546875,748.0,237.0
182,574.3161010742188,202.83676147460938,751.0,212.0,572.9600219726562,229.280029296875,751.0,237.0
183,578.1939086914062,202.51075744628906,755.0,213.0,576.7230834960938,228.98460388183594,755.0,236.0
184,579.26025390625,202.38087463378906,755.0,213.0,577.7747802734375,228.7478790283203,755.0,236.0
185,582.4343872070312,202.32647705078125,758.0,213.0,580.9354858398438,228.80767822265625,758.0,235.0
186,586.4107666015625,202.40057373046875,762.0,213.0,584.9715576171875,229.02548217773438,762.0,237.0
187,589.2357788085938,202.49630737304688,764.0,213.0,587.7056274414062,229.12100219726562,764.0,237.0
188,593.2317504882812,203.01344299316406,768.0,213.0,591.7042846679688,229.2851104736328,768.0,238.0
189,598.3543701171875,203.11773681640625,773.0,214.0,596.7720947265625,229.38388061523438,773.0,238.0
190,601.3531494140625,203.17294311523438,776.0,214.0,599.7630615234375,229.409912109375,776.0,238.0
191,607.1007080078125,203.3476104736328,782.0,215.0,605.5072021484375,229.48216247558594,782.0,238.0
192,614.1445922851562,204.3969268798828,788.3585205078125,215.62393188476562,612.6799926757812,230.75999450683594,786.9912109375,236.13278198242188
193,616.2861938476562,204.13450622558594,790.0,215.0,614.7448120117188,230.3379669189453,790.0,235.0
194,622.358642578125,204.08236694335938,797.0,215.0,620.783203125,230.07778930664062,797.0,234.0
195,628.6345825195312,204.2137908935547,805.0,215.0,627.1035766601562,230.2413787841797,805.0,234.0
196,632.1876831054688,204.6215362548828,805.0,215.0,630.7384643554688,230.7076873779297,805.0,233.0
197,638.1767578125,205.3744659423828,812.4633178710938,215.82928466796875,636.9019775390625,231.5074005126953,810.7438354492188,231.30490112304688
198,644.257568359375,204.5341033935547,817.0,216.0,642.74267578125,230.79286193847656,817.0,229.0
